year;programa;subprograma;proyecto;actividad;grupo;subgrupo;renglon;departamento;municipio;fuenteag;ejecucioncuanti;ejecucioncuali
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;12;1201;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;12;1202;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;12;1203;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;12;1204;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;12;1205;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;12;1206;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;12;1207;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;12;1208;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;12;1209;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;12;1210;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;12;1211;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;12;1212;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;12;1213;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;12;1214;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;12;1215;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;12;1216;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;12;1217;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;12;1218;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;12;1219;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;12;1220;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;12;1221;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;12;1222;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;12;1223;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;12;1224;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;12;1225;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;12;1226;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;12;1227;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;12;1228;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;12;1229;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;12;1230;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;13;1301;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;13;1302;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;13;1303;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;13;1304;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;13;1305;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;13;1306;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;13;1307;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;13;1308;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;13;1309;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;13;1310;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;13;1311;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;13;1312;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;13;1313;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;13;1314;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;13;1315;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;13;1316;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;13;1317;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;13;1318;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;13;1319;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;13;1320;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;13;1321;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;13;1322;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;13;1323;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;13;1324;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;13;1325;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;13;1326;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;13;1327;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;13;1328;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;13;1329;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;13;1330;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;13;1331;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;13;1332;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;13;1333;10;-1;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;14;1401;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;14;1402;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;14;1403;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;14;1404;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;14;1405;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;14;1406;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;14;1407;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;14;1408;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;14;1409;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;14;1410;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;14;1411;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;14;1412;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;14;1413;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;14;1414;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;14;1415;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;14;1416;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;14;1417;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;14;1418;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;14;1419;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;14;1420;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;14;1421;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;15;1501;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;15;1502;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;15;1503;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;15;1504;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;15;1505;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;15;1506;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;15;1507;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;15;1508;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;16;1601;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;16;1602;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;16;1603;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;16;1604;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;16;1605;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;16;1606;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;16;1607;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;16;1608;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;16;1609;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;16;1610;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;16;1611;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;16;1612;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;16;1613;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;16;1614;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;16;1615;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;16;1616;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;16;1617;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;17;1701;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;17;1702;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;17;1703;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;17;1704;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;17;1705;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;17;1706;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;17;1707;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;17;1708;10;0.814814815;baja
